category,business_name,public_contact_name,role_or_best_contact,city,zip,website,source,notes,outreach_hook
accounting,Parlins Tax Service,Diane Parlin,Owner / Tax Professional,Blaine,55449,https://www.taxbuzz.com/find-the-best-tax-preparer/minnesota/blaine/diane-parlin,web_search,Public TaxBuzz profile,Firm appears tied to named preparer
accounting,Ramsay & Associates,,Partner or Managing CPA,Coon Rapids,55448,https://www.ramsaycpa.com/about-us/service_area/coon-rapids-mn/,web_search,Service area page for Coon Rapids,Nearby business financial services firm
accounting,3 Rivers Tax,,Owner or Tax Advisor,Coon Rapids,55433,https://3riverstax.com/,web_search,Coon Rapids accountant site,Small-business tax solutions angle
accounting,Scheunemann Tax Service P.A.,,Owner or Office Manager,Coon Rapids,55433,http://www.scheunemanntax.com/,web_search,Coon Rapids local tax office,Established local tax office
law,Johnson/Turner Legal,,Managing Partner or Office Director,Blaine,55449,https://johnsonturner.com/blaine-divorce-attorneys/4/,web_search,Blaine family law and estate planning page,Clear confidentiality and drafting-risk angle
law,Henningson & Snoxell,,Managing Partner or Office Administrator,Blaine,55449,https://www.hennsnoxlaw.com/about-us/service-area/blaine-mn,web_search,Blaine service area page,Local law firm serving Blaine
law,Bolt Law Firm,,Managing Attorney or Office Manager,Blaine,55449,https://www.boltlawfirm.com/blaine/,web_search,Multi-practice law firm in Blaine,Good fit for practical AI guardrails
law,Aaron Hall,Aaron Hall,Owner / Business Attorney,Blaine,55449,https://aaronhall.com/about/blaine-mn/,web_search,Public attorney page,Business-law positioning fits AI governance offer
law,KM Wasche P.C.,Kenneth M. Wasche,Attorney / Owner,Blaine,55449,https://www.kmwasche.com/,web_search,Blaine attorney site with named owner,Direct named attorney prospect
law,Tramm Law Firm PLLC,,Attorney / Owner,Blaine,55449,https://www.trammlawfirm.com/estate-planning-in-blaine-mn,web_search,Blaine estate planning page,Small-firm planning practice
law,Gilbert Law PLLC,,Attorney / Owner,White Bear Lake,55110,https://www.gilbertlawpllc.com/,web_search,Northeast metro estate and business attorney,Nearby professional-services prospect
law,SAVALAW,,Attorney / Owner,Blaine,55449,http://www.savalaw.com/,web_search,Business and corporate clients noted,Business-law and operations angle
law,Berglund Baumgartner & Glaser LLC,Mark E. Berglund,Partner,Anoka,55303,https://www.bbkglaw.com/team/mark-berglund/,web_search,Named partner and nearby firm,Named partner public on firm site
insurance,Mackenzie Agency Inc.,,Owner or Principal,Blaine,55449,https://agency.nationwide.com/mn/blaine/55449/mackenzie-agency-inc,web_search,Target-zip Nationwide listing,Agency in target zip
insurance,Atlas Insurance Brokers LLC,,Owner or Principal,Blaine,55449,https://agency.nationwide.com/mn/blaine/55449/atlas-insurance-brokers-llc,web_search,Target-zip Nationwide listing,Agency in target zip
insurance,Policy Brokers Insurance Agency,Dan,Owner or Principal,Blaine,55449,https://policybrokersmn.com/,web_search,Site snippet shows Dan email,Personalized outreach possible from site snippet
insurance,Hometown MN Insurance Brokerage,Jill Truth,Owner or Principal,Blaine,55449,https://hometownmninsurancebrokerage.com/about/,web_search,LinkedIn profile link in snippet and 55449 address,Named nearby insurance prospect
insurance,First Preferred Insurance Agency LLC,,Owner or Principal,Blaine,55449,https://www.progressiveagent.com/local-agent/minnesota/blaine/,web_fetch,Listed on Progressive agent page,Located in 55449 on Progressive page
insurance,Truck Writers Inc,,Owner or Principal,Blaine,55449,https://www.progressiveagent.com/local-agent/minnesota/blaine/,web_fetch,Listed on Progressive agent page,55449 commercial-leaning prospect
insurance,Ameriguard Insurance Agency,,Owner or Principal,Blaine,55434,https://ameriguardagency.com/,web_search,Blaine-based agency,Strong local independent agency fit
insurance,Patriot Insurance Agency Inc.,,Owner or Principal,Blaine,55434,https://agency.nationwide.com/mn/blaine/55434/patriot-insurance-agency-inc,web_search,Nearby Blaine agency,Independent agency format
insurance,Insurance Brokers of MN Inc.,,Owner or Principal,Blaine,55434,https://agency.nationwide.com/mn/blaine/55434/insurance-brokers-of-mn-inc,web_search,Nearby Blaine agency,Independent brokerage fit
insurance,Dexter Insurance Agency LLC,,Owner or Principal,Blaine,55434,https://agency.nationwide.com/mn/blaine/55434/dexter-insurance-agency-llc,web_search,Nearby Blaine agency,Independent agency listing
insurance,Gallivan Insurance Agency,,Owner or Principal,Blaine,55434,https://agency.nationwide.com/mn/blaine/55434/gallivan-insurance-agency,web_search,Nearby Blaine agency,Independent agency listing
insurance,Stanger Insurance Agency,,Owner or Principal,Blaine,55434,http://stanger-insurance.com/,web_search,Blaine full-service agency,Small-business insurance language on site
insurance,Uram Insurance Agency,,Owner or Principal,Blaine,55434,http://uraminsurance.com/,web_search,Longstanding Blaine agency,Established agency with dedicated staff
insurance,North Suburban Agencies,,Owner or Principal,Coon Rapids,55433,https://www.nsagencies.com/,web_search,Nearby Coon Rapids agency,Local independent agency nearby
pharmacy,CVS Pharmacy #16953,,Pharmacy Manager or Store Manager,Blaine,55449,https://www.cvs.com/store-locator/cvs-pharmacy-address/1500+109th+Ave+Ne-Blaine-MN-55449/storeid=16953,web_search,1500 109th Ave NE Blaine MN 55449,Target-zip pharmacy location
pharmacy,Walgreens Pharmacy #7781,,Pharmacy Manager or Store Manager,Blaine,55449,https://www.walgreens.com/locator/walgreens-4202+pheasant+ridge+dr+ne-blaine-mn-55449/id=7781,web_search,4202 Pheasant Ridge Dr NE Blaine MN 55449,Target-zip pharmacy location
pharmacy,Walmart Pharmacy,,Pharmacy Manager or Store Manager,Blaine,55449,https://www.rxspark.com/pharmacy-listings/wal-mart-pharmacy-4405-pheasant-ridge-dr-ne-blaine-mn-55449-6196,web_search,4405 Pheasant Ridge Dr NE Blaine MN 55449,Target-zip pharmacy location
pharmacy,Fairview Pharmacy - Blaine,,Pharmacy Manager or Operations Lead,Blaine,55449,https://mhealthfairview.org/locations/fairview-pharmacy---blaine,web_search,10961 Club West Parkway NE Blaine MN 55449,Health-system pharmacy in target zip
pharmacy,Cub Pharmacy #1652,,Pharmacy Manager or Store Manager,Blaine,55449,https://insiderx.com/pharmacy-near-me/cub/mn/blaine/4205-pheasant-ridge-dr-ne/1649385782,web_search,4205 Pheasant Ridge Dr NE Blaine MN 55449,Target-zip grocery pharmacy
pharmacy,Cub Foods - Blaine North Pharmacy,,Pharmacy Manager or Store Manager,Blaine,55434,http://mn.hospitals-usa.org/item/cub-foods-blaine-north/,web_search,12595 Central Ave NE Blaine MN 55434,Nearby Blaine pharmacy
pharmacy,CVS Pharmacy - Coon Rapids,,Pharmacy Manager or Store Manager,Coon Rapids,55448,https://www.cvs.com/store-locator/coon-rapids-mn-pharmacies/10930-university-ave-nw-coon-rapids-mn-55448/storeid=1303,web_search,10930 University Ave NW Coon Rapids MN 55448,Nearby north metro pharmacy
pharmacy,CVS Pharmacy - Lino Lakes,,Pharmacy Manager or Store Manager,Lino Lakes,55014,https://www.cvs.com/store-locator/lino-lakes-mn-pharmacies/749-apollo-dr-lino-lakes-mn-55014/storeid=16780,web_search,749 Apollo Dr Lino Lakes MN 55014,Nearby north metro pharmacy
pharmacy,Walgreens Pharmacy - Andover,,Pharmacy Manager or Store Manager,Andover,55304,https://www.walgreens.com/locator/walgreens-2134+bunker+lake+blvd+nw-andover-mn-55304/id=2078,web_search,2134 Bunker Lake Blvd NW Andover MN 55304,Nearby north metro pharmacy
